AB/2 (m),MN/2 (m),App. Res. (Ohm m)
5.0,1.0,183.17
10.0,1.0,125.35
20.0,1.0,114.95
30.0,1.0,112.39
40.0,1.0,120.13
40.0,5.0,108.67
50.0,5.0,117.34
60.0,5.0,122.44
70.0,5.0,123.76
80.0,5.0,127.58
90.0,5.0,132.27
100.0,5.0,141.25
100.0,10.0,129.91
120.0,10.0,138.66
140.0,10.0,152.79
160.0,10.0,169.17
180.0,10.0,186.77
200.0,10.0,201.49
200.0,20.0,202.89
220.0,20.0,229.71
240.0,20.0,327.39
260.0,20.0,323.71
280.0,20.0,368.62
300.0,20.0,352.61
320.0,20.0,394.82
350.0,20.0,356.66
370.0,20.0,395.12
400.0,20.0,436.24
